str_mode,measure,value,cas_mode,city,scenario,country,continent,mode_distance
bus,mean,0,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
bus,ub,0,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
bus,lb,0,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
car,mean,0.62,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
car,ub,1.34,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
car,lb,0.28,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
cycle,mean,0.02,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
cycle,ub,0.06,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
cycle,lb,0.01,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
motorcycle,mean,0.46,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
motorcycle,ub,1.02,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
motorcycle,lb,0.21,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
truck,mean,0.45,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
truck,ub,0.99,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
truck,lb,0.21,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
nov,mean,5.79,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
nov,ub,9.85,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
nov,lb,3.44,bus,bogota,Baseline predicted,Colombia,Latin_America,38925779.49918654
bus,mean,1.99,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
bus,ub,3.07,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
bus,lb,1.29,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
car,mean,0,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
car,ub,0,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
car,lb,0,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
cycle,mean,0.1,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
cycle,ub,0.2,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
cycle,lb,0.06,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
motorcycle,mean,1.98,car,bogota,Baseline predicted,Colombia,Latin_America,28185306.86771144
